iso3,country,region,subregion,disaggregation,disagg.value,section,Fruit,Vegetables,Legumes,Nuts,Whole grains,Fish,Dairy,Red meat
ECU,Ecuador,Latin America and the Caribbean,South America,location,National,Dietary needs,26,108.6,15.3,2.7,30.7,19.2,152.7,55.2
EGY,Egypt,Africa,Northern Africa,location,National,Dietary needs,88.4,147.7,8.9,2,22.1,14.3,134.7,29.9
ERI,Eritrea,Africa,Eastern Africa,location,National,Dietary needs,57.3,69.3,28.3,10.1,36.8,52.7,76.9,21.5
ESP,Spain,Europe,Southern Europe,location,National,Dietary needs,64.3,103.4,21,8.4,22,66,732.7,56.9
EST,Estonia,Europe,Northern Europe,location,National,Dietary needs,105.2,293.3,6,8.1,107.4,30.2,1557,79.2
ETH,Ethiopia,Africa,Eastern Africa,location,National,Dietary needs,38.6,88.8,34.5,1.7,177.1,4.9,81.3,10.6
FIN,Finland,Europe,Northern Europe,location,National,Dietary needs,150.2,125,6.1,3,57.2,38.5,750.7,65.3
FJI,Fiji,Oceania,Melanesia,location,National,Dietary needs,109.3,210.4,29,4.4,49.4,37.3,79.6,21
FRA,France,Europe,Western Europe,location,National,Dietary needs,150.8,155.4,13.4,2.4,33.4,30.2,671.1,46.1
FSM,Micronesia (Federated States of),Oceania,Micronesia,location,National,Dietary needs,145.4,138.3,27.9,2.9,34.3,59.3,54.1,27.9
GAB,Gabon,Africa,Middle Africa,location,National,Dietary needs,69.9,122.2,2.6,20.2,50.2,31.8,82.6,32.4
GBR,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,location,National,Dietary needs,91.3,117.4,40.3,5.4,46.2,28.7,671.7,42.7
GEO,Georgia,Asia,Western Asia,location,National,Dietary needs,71.8,87.7,34.5,6.3,43.5,56.9,863.8,15.3
GHA,Ghana,Africa,Western Africa,location,National,Dietary needs,87.9,137.4,19.5,29.3,11,90.4,39.3,14.6
GIN,Guinea,Africa,Western Africa,location,National,Dietary needs,22,20.2,3.2,10.6,40.1,16.5,43.2,13.8
GMB,Gambia,Africa,Western Africa,location,National,Dietary needs,30.7,48.1,7,12,62.3,38.5,26.9,6.6
GNB,Guinea-Bissau,Africa,Western Africa,location,National,Dietary needs,67.6,138.1,90.9,12.6,18.3,17.4,76.6,19.6
GNQ,Equatorial Guinea,Africa,Middle Africa,location,National,Dietary needs,91,147.3,36.8,11.4,39.2,54.2,70.7,21.9
GRC,Greece,Europe,Southern Europe,location,National,Dietary needs,77,91.3,13.9,7.4,34.3,30.6,530.1,78.5
GRD,Grenada,Latin America and the Caribbean,Caribbean,location,National,Dietary needs,121.5,252.3,28.5,0,23.1,24.8,170.3,27
GTM,Guatemala,Latin America and the Caribbean,Central America,location,National,Dietary needs,75.6,92.4,46.1,2.6,23,6,185.7,57.3
GUY,Guyana,Latin America and the Caribbean,South America,location,National,Dietary needs,202.8,145.1,21.4,8.3,4.8,43.4,233.2,47.9
HND,Honduras,Latin America and the Caribbean,Central America,location,National,Dietary needs,88.8,29.5,41.1,4.6,25,12.2,171.9,30.2
HRV,Croatia,Europe,Southern Europe,location,National,Dietary needs,59.5,480.8,8.2,8.9,58.1,39,660,251.5
HTI,Haiti,Latin America and the Caribbean,Caribbean,location,National,Dietary needs,70,80.1,26.8,5.2,25.7,20.2,89.8,17.8
HUN,Hungary,Europe,Eastern Europe,location,National,Dietary needs,60,62.1,16.2,1.6,44.7,11.9,426,22.3
IDN,Indonesia,Asia,South-eastern Asia,location,National,Dietary needs,67,160.5,27.5,5.1,29.6,56.7,53.6,23.9
IND,India,Asia,Southern Asia,location,National,Dietary needs,35.8,167.8,24.9,3.2,121.8,9.6,107.8,3.5
IRL,Ireland,Europe,Northern Europe,location,National,Dietary needs,78.4,116.6,22.3,12.9,18.9,13.2,1004.9,40.8
IRN,Iran (Islamic Republic of),Asia,Southern Asia,location,National,Dietary needs,168.6,227.3,15.4,7,51.6,8.7,259.7,16.2
IRQ,Iraq,Asia,Western Asia,location,National,Dietary needs,102.9,116,36.2,12.7,9.4,26.4,396.7,67.2
ISL,Iceland,Europe,Northern Europe,location,National,Dietary needs,76.1,69.3,5.4,1.4,74.6,46.7,770.8,58.3
ISR,Israel,Asia,Western Asia,location,National,Dietary needs,133.9,83.3,70.6,27.8,52.9,127.5,1094.2,132.1
ITA,Italy,Europe,Southern Europe,location,National,Dietary needs,199.4,149.4,13.8,3.3,9.2,61.4,322.6,53.4
JAM,Jamaica,Latin America and the Caribbean,Caribbean,location,National,Dietary needs,176.7,148.9,11.4,3.1,22,46.6,251.1,12.2
JOR,Jordan,Asia,Western Asia,location,National,Dietary needs,171.1,117.1,25.9,10.5,23.9,54,327.1,55.5
JPN,Japan,Asia,Eastern Asia,location,National,Dietary needs,108.9,282.7,58.9,2.4,6.1,50.2,187.9,90.2
KAZ,Kazakhstan,Asia,Central Asia,location,National,Dietary needs,59.1,157,6.7,75,37.1,33,628.6,103.2
KEN,Kenya,Africa,Eastern Africa,location,National,Dietary needs,105,246.9,28,0.6,12.7,10.8,112.5,14.7
KGZ,Kyrgyzstan,Asia,Central Asia,location,National,Dietary needs,74.9,38.1,6.2,37.5,46.6,1.8,173.7,42.5
KHM,Cambodia,Asia,South-eastern Asia,location,National,Dietary needs,49,117.9,3.8,1.5,16.4,71,25.1,24.8
KIR,Kiribati,Oceania,Micronesia,location,National,Dietary needs,98,87.9,29.2,3.2,35.7,60.7,58.6,28.9
KNA,Saint Kitts and Nevis,Latin America and the Caribbean,Caribbean,location,National,Dietary needs,,,,,,,,
KOR,Republic of Korea,Asia,Eastern Asia,location,National,Dietary needs,96.4,138.2,27.7,1.5,16.5,21.6,181.7,42
KWT,Kuwait,Asia,Western Asia,location,National,Dietary needs,56.9,109.1,45.2,25.1,19.9,70.3,579.4,26.9
LAO,Lao People's Democratic Republic,Asia,South-eastern Asia,location,National,Dietary needs,119.1,140.3,25.3,0.7,1.8,66.8,71.7,41.7
LBN,Lebanon,Asia,Western Asia,location,National,Dietary needs,227.3,350.7,27.5,43.2,25.6,12.2,445,27
LBR,Liberia,Africa,Western Africa,location,National,Dietary needs,49.6,121.4,9.5,2.5,10.7,58.5,56.2,22.3
LBY,Libya,Africa,Northern Africa,location,National,Dietary needs,52.7,111.9,37.1,19.1,14.8,32.2,396,39.2
LCA,Saint Lucia,Latin America and the Caribbean,Caribbean,location,National,Dietary needs,76.6,91.7,57.2,0.5,49.1,18.1,164.6,40.6
LKA,Sri Lanka,Asia,Southern Asia,location,National,Dietary needs,79.2,195.6,82.6,9.8,32.7,24.9,173.8,45.9
LSO,Lesotho,Africa,Southern Africa,location,National,Dietary needs,68.9,191.1,15.2,1.7,60.1,10.5,78.9,23.5
LTU,Lithuania,Europe,Northern Europe,location,National,Dietary needs,69.4,130.5,26.5,9.4,14.1,30,1081.8,143.5
LUX,Luxembourg,Europe,Western Europe,location,National,Dietary needs,85.9,95.4,9.9,0.1,30.7,30,631.3,95.4
LVA,Latvia,Europe,Northern Europe,location,National,Dietary needs,59.1,233.3,10,6.8,72,35,677.6,212.1
MAR,Morocco,Africa,Northern Africa,location,National,Dietary needs,96.2,165.9,38.5,15.2,23.9,35.5,282.6,24.8
MCO,Monaco,Europe,Western Europe,location,National,Dietary needs,,,,,,,,
MDA,Republic of Moldova,Europe,Eastern Europe,location,National,Dietary needs,98.3,90.3,112.7,16.5,61.5,29.5,584.1,99
MDG,Madagascar,Africa,Eastern Africa,location,National,Dietary needs,89.6,166.4,8.1,0.8,23.5,40.1,53.1,28.8
MDV,Maldives,Asia,Southern Asia,location,National,Dietary needs,230.4,177.8,28.4,14.9,143,40.4,229.4,38
MEX,Mexico,Latin America and the Caribbean,Central America,location,National,Dietary needs,149.8,194,40.6,1.9,4.7,7.9,370.5,47.4
MHL,Marshall Islands,Oceania,Micronesia,location,National,Dietary needs,112.4,186.1,40.6,3.4,12.4,49.3,103.6,30.1
MKD,North Macedonia,Europe,Southern Europe,location,National,Dietary needs,91.9,150.8,21.3,12,49.9,25.3,639.6,51.7
MLI,Mali,Africa,Western Africa,location,National,Dietary needs,70,91,15,12.9,56.9,53.1,92.5,21.4
MLT,Malta,Europe,Southern Europe,location,National,Dietary needs,132.8,90,3.7,6.6,86,40.6,514.5,63.3
MMR,Myanmar,Asia,South-eastern Asia,location,National,Dietary needs,79.5,174.2,25.6,4.7,22.9,129.3,111.4,128.4
MNE,Montenegro,Europe,Southern Europe,location,National,Dietary needs,245.4,135.5,30.5,11.3,192.1,53.3,920,205.6
MNG,Mongolia,Asia,Eastern Asia,location,National,Dietary needs,48.7,171.2,28.5,2.2,100.8,16.5,738.8,74.5
MOZ,Mozambique,Africa,Eastern Africa,location,National,Dietary needs,102.3,138.5,31,10.6,17.2,40.1,39.9,19
MRT,Mauritania,Africa,Western Africa,location,National,Dietary needs,34.8,223.4,19.5,1.8,26.1,33.9,94.7,16.4
MUS,Mauritius,Africa,Eastern Africa,location,National,Dietary needs,76.8,182.8,38.5,9,75,47,116.8,44.9
MWI,Malawi,Africa,Eastern Africa,location,National,Dietary needs,113.7,173.9,24.6,7.9,62.3,37.6,34.9,13.5
MYS,Malaysia,Asia,South-eastern Asia,location,National,Dietary needs,106.5,163.5,25.4,58,18.3,90.9,68.2,21.4
NAM,Namibia,Africa,Southern Africa,location,National,Dietary needs,255,151.4,12.6,8.2,54.1,23.2,130.9,25.4
NER,Niger,Africa,Western Africa,location,National,Dietary needs,63.6,98.5,28.9,16.3,52.1,6,79.4,8.2
NGA,Nigeria,Africa,Western Africa,location,National,Dietary needs,35.1,92.8,19.9,10.9,57.9,33.3,49.6,21.2
